,댓글,출처
75201,아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐아좀 재좀 이슈화 다시 시켜서 끌어내리면 안되냐 방빼라 윤미향 저런 망할녀자가 아직도 국개의원에 잇냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75203,그냥 사이코패스임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75204,100,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75205,재판이 다가왔능가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75206,전라도는 진짜 악마다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75207,전라도아님 경남임 김두관이랑 같은곳,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75208,저런 애들한테 욕하고 비판해도 쟤들은 데미지 하나도 안먹는다왜냐고 인간이 아니니까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75209,진짜 미친년 아니냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75210,근데 저게 먹다 물론 일게이들은 빼고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75212,쇼의 대가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75213,더 소름돋는건 저게 먹다는거임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75214,씨발년아 뒤져라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75215,저게 쟤 본업이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75216,돈줄을 놓지못하노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75217,이쁘긴 하다근데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75218,조주빈 벌써 출소했누,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75219,쇼하고 사진 몇 판 같이 찍어주면 예전 처럼 앵벌이 가능한건가 정신대 할머니 들도 생각 좀 하고 그만 이용당하자,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75220,저 나이에 인스타임 종이신문읽고 그래야 정상아닌가나도 인스타는 안한다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75222,저사진 찍을때 어떨지 생각해보니까 개웃기네 ㅋㅋ와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75223,게이들아 좌표좀 부탁한다 테러간다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75224,아무리 꾸며도 쓰레기일 수밖에 없는 말과 글,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75225,조선 좌파들 대단하다 정말,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75226,이러니 보수가졌지 씨발같은나라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75227,법치 무너지면 척살순위 1순위다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
