Date,Open,High,Low,Close,Volume
2015-08-07,1120000,1137000,1115000,1136000,254834
2015-08-06,1155000,1156000,1115000,1115000,400091
2015-08-05,1182000,1182000,1158000,1159000,248883
2015-08-04,1175000,1187000,1170000,1182000,188260
2015-08-03,1184000,1184000,1166000,1175000,190332
2015-07-31,1220000,1222000,1175000,1185000,370146
2015-07-30,1258000,1260000,1215000,1215000,307189
2015-07-29,1250000,1275000,1231000,1263000,272169
2015-07-28,1224000,1251000,1219000,1230000,252036
2015-07-27,1229000,1247000,1228000,1230000,198204
2015-07-24,1227000,1238000,1224000,1229000,194869
2015-07-23,1244000,1253000,1234000,1234000,198639
2015-07-22,1244000,1260000,1235000,1253000,266557
2015-07-21,1275000,1277000,1247000,1263000,193474
2015-07-20,1291000,1304000,1273000,1275000,127872
2015-07-17,1300000,1311000,1278000,1305000,296710
2015-07-16,1223000,1287000,1223000,1282000,217793
2015-07-15,1225000,1238000,1224000,1235000,166863
2015-07-14,1265000,1270000,1221000,1225000,367936
2015-07-13,1250000,1266000,1266000,1266000,153144
2015-07-10,1257000,1266000,1248000,1259000,174652
2015-07-09,1230000,1265000,1226000,1265000,273889
2015-07-08,1240000,1251000,1232000,1239000,215303
2015-07-07,1220000,1259000,1220000,1240000,236882
2015-07-06,1253000,1260000,1223000,1230000,195947
2015-07-03,1287000,1294000,1267000,1268000,137705
2015-07-02,1286000,1304000,1285000,1299000,151264
2015-07-01,1268000,1302000,1259000,1295000,161559
2015-06-30,1276000,1285000,1266000,1268000,197016
2015-06-29,1269000,1285000,1256000,1281000,229023
2015-06-26,1252000,1290000,1252000,1278000,206209
2015-06-25,1290000,1303000,1269000,1269000,202288
2015-06-24,1300000,1311000,1291000,1302000,195381
2015-06-23,1309000,1328000,1291000,1321000,201743
2015-06-22,1291000,1296000,1276000,1281000,124510
2015-06-19,1266000,1278000,1260000,1266000,140114
2015-06-18,1259000,1279000,1251000,1265000,153150
2015-06-17,1250000,1266000,1240000,1254000,188735
2015-06-16,1270000,1274000,1245000,1255000,254579
2015-06-15,1255000,1274000,1255000,1270000,124242
2015-06-12,1278000,1287000,1264000,1277000,214484
2015-06-11,1263000,1274000,1253000,1257000,304790
2015-06-10,1282000,1294000,1262000,1262000,249342
2015-06-09,1300000,1310000,1268000,1282000,272092
2015-06-08,1345000,1347000,1313000,1314000,197010
2015-06-05,1325000,1355000,1320000,1341000,191117
2015-06-04,1315000,1341000,1305000,1337000,387249
2015-06-03,1303000,1316000,1265000,1273000,232650
2015-06-02,1300000,1303000,1288000,1303000,174332
2015-06-01,1300000,1301000,1288000,1291000,197323
2015-05-29,1320000,1321000,1297000,1307000,336489
2015-05-28,1317000,1321000,1301000,1309000,294025
2015-05-27,1360000,1366000,1313000,1314000,340833
2015-05-26,1366000,1369000,1336000,1362000,193453
2015-05-22,1353000,1353000,1335000,1350000,163630
2015-05-21,1371000,1372000,1344000,1352000,144012
2015-05-20,1349000,1370000,1341000,1366000,205133
2015-05-19,1321000,1355000,1307000,1338000,173093
2015-05-18,1335000,1335000,1309000,1320000,181137
2015-05-15,1355000,1356000,1321000,1326000,177644
2015-05-14,1341000,1343000,1328000,1340000,168743
2015-05-13,1349000,1349000,1326000,1333000,196668
2015-05-12,1345000,1353000,1324000,1331000,212069
2015-05-11,1360000,1360000,1336000,1336000,190643
2015-05-08,1366000,1370000,1338000,1338000,188063
2015-05-07,1362000,1375000,1354000,1370000,192100
2015-05-06,1390000,1391000,1356000,1362000,264689
2015-05-04,1407000,1423000,1397000,1400000,160479
2015-04-30,1385000,1418000,1379000,1410000,352409
2015-04-29,1367000,1394000,1364000,1385000,217050
2015-04-28,1390000,1400000,1359000,1366000,312394
2015-04-27,1410000,1411000,1375000,1395000,329573
2015-04-24,1449000,1455000,1400000,1410000,379744
2015-04-23,1470000,1470000,1440000,1451000,184422
2015-04-22,1444000,1473000,1436000,1461000,252671
2015-04-21,1421000,1445000,1420000,1444000,236011
2015-04-20,1446000,1448000,1423000,1430000,244792
2015-04-17,1477000,1478000,1447000,1450000,198920
2015-04-16,1462000,1477000,1447000,1477000,209588
2015-04-15,1460000,1470000,1427000,1446000,269985
2015-04-14,1485000,1485000,1465000,1474000,188257
2015-04-13,1479000,1491000,1468000,1479000,203599
2015-04-10,1480000,1494000,1478000,1490000,188420
2015-04-09,1470000,1489000,1470000,1483000,169552
2015-04-08,1470000,1485000,1460000,1479000,153728
2015-04-07,1478000,1485000,1462000,1462000,186226
2015-04-06,1443000,1490000,1435000,1470000,209848
2015-04-03,1434000,1440000,1420000,1434000,122227
2015-04-02,1434000,1440000,1423000,1434000,134403
2015-04-01,1437000,1437000,1420000,1423000,143996
2015-03-31,1449000,1452000,1430000,1441000,196149
2015-03-30,1425000,1434000,1412000,1428000,146025
2015-03-27,1415000,1448000,1415000,1421000,310159
2015-03-26,1450000,1456000,1421000,1421000,411450
2015-03-25,1487000,1488000,1472000,1485000,180093
2015-03-24,1455000,1478000,1455000,1476000,171267
2015-03-23,1462000,1474000,1458000,1467000,154858
2015-03-20,1475000,1480000,1460000,1464000,242525
2015-03-19,1510000,1510000,1470000,1470000,247559
2015-03-18,1496000,1506000,1486000,1503000,243666
2015-03-17,1470000,1500000,1460000,1497000,272124
2015-03-16,1458000,1487000,1455000,1470000,179303
2015-03-13,1461000,1479000,1455000,1457000,181823
2015-03-12,1460000,1473000,1447000,1447000,365442
2015-03-11,1419000,1479000,1418000,1474000,407194
2015-03-10,1434000,1443000,1420000,1421000,174618
2015-03-09,1440000,1440000,1420000,1420000,141407
2015-03-06,1414000,1449000,1406000,1442000,234312
2015-03-05,1439000,1443000,1417000,1422000,191913
2015-03-04,1411000,1440000,1410000,1437000,231146
2015-03-03,1435000,1437000,1406000,1418000,251018
2015-03-02,1375000,1423000,1367000,1423000,425208
